 Gxx_pluss
            -0.35547481536865E+02            0.26993402099609E+03
            -0.58804210662842E+02            0.57321521759033E+02
            -0.36870094299316E+02            0.27873619079590E+02
            -0.26782369613647E+02            0.17681486129761E+02
            -0.21111507415771E+02            0.12587791442871E+02
            -0.17489868164062E+02            0.95429906845093E+01
            -0.14977786064148E+02            0.75195646286011E+01
            -0.13132360458374E+02            0.60769448280334E+01
            -0.11717978477478E+02            0.49955849647522E+01
            -0.10598194122314E+02            0.41542758941650E+01
            -0.96887750625610E+01            0.34804701805115E+01
            -0.89347400665283E+01            0.29279477596283E+01
            -0.82985277175903E+01            0.24660968780518E+01
            -0.77538356781006E+01            0.20739536285400E+01
            -0.72817821502686E+01            0.17364664077759E+01
            -0.68682494163513E+01            0.14425020217896E+01
            -0.65024342536926E+01            0.11838232278824E+01
            -0.61761264801025E+01            0.95425838232040E+00
            -0.58829755783081E+01            0.74889218807220E+00
            -0.56178364753723E+01            0.56377029418945E+00
            -0.53764829635620E+01            0.39585050940514E+00
            -0.51555910110474E+01            0.24273236095905E+00
            -0.49524946212769E+01            0.10234104096889E+00
            -0.47648591995239E+01           -0.27086013928056E-01
            -0.45906891822815E+01           -0.14690966904163E+00
            -0.44284086227417E+01           -0.25823563337326E+00
            -0.42767224311829E+01           -0.36209994554520E+00
            -0.41343984603882E+01           -0.45941671729088E+00
            -0.40003671646118E+01           -0.55086481571198E+00
            -0.38738086223602E+01           -0.63701051473618E+00
            -0.37540061473846E+01           -0.71847254037857E+00
            -0.36402375698090E+01           -0.79574263095856E+00
            -0.35318827629089E+01           -0.86920040845871E+00
            -0.34284749031067E+01           -0.93917375802994E+00
            -0.33295872211456E+01           -0.10060385465622E+01
            -0.32347514629364E+01           -0.10701076984406E+01
            -0.31435923576355E+01           -0.11315838098526E+01
            -0.30558211803436E+01           -0.11906821727753E+01
            -0.29711623191833E+01           -0.12476518154144E+01
            -0.28893086910248E+01           -0.13026970624924E+01
            -0.28099911212921E+01           -0.13559433221817E+01
